,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Health Center Service Delivery Site Location Setting Description,Health Center Location Type Description,Health Center Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate
1908,Sandhills Medical Foundation Inc. – Sumter Site,30 Cuttino Rd,Sumter,SC,29150-2667,803-778-2442,www.sandhillsmedical.org,All Other Clinic Types,Permanent,Service Delivery Site,-80.36698466,33.94373869
1909,Open Door Gynecology Services,3770 Janes Rd,Arcata,CA,95521-4744,707-825-7588,,All Other Clinic Types,Permanent,Service Delivery Site,-124.09329883,40.89600405
1910,Harmony Health Medical Clinic and Family Resource Center,1930 N Beale Rd,Marysville,CA,95901-6915,530-743-6888,,All Other Clinic Types,Permanent,Service Delivery Site,-121.54491327,39.12782519
1911,Sonoma Valley Community Health Center,19270 Sonoma Hwy,Sonoma,CA,95476-5414,707-939-6070,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-122.47510896,38.29896701
1914,"EASTPORT HEALTH CARE, INC.",30 Boynton St,Eastport,ME,04631-1306,207-853-6001,http://www.eastporthealth.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-66.98775112,44.90522287
1916,TB CONTROL PROGRAM-PUBLIC HEALTH,325 9th Ave,Seattle,WA,98104-2420,206-744-4579,http://www.kingcounty.gov/healthservices/health/communicable/tb.aspx,Hospital,Permanent,Service Delivery Site,-122.32362854,47.60432506
1917,Fort Lyon Health Center,30999 County Road 15 BLDG 5,Fort Lyon,CO,81054-9499,719-662-1142,www.coloradocoalition.org,All Other Clinic Types,Permanent,Service Delivery Site,-103.14274082,38.08510118
1918,REDWOODS RURAL HEALTH CENTER,101 W Coast Rd,Redway,CA,95560,707-923-2783,www.rrhc.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-123.81334075,40.1170921
1919,Greater Baden Medical Services at La Plata,6 Garrett Ave,La Plata,MD,20646-5959,301-539-5100,www.gbms.org,All Other Clinic Types,Permanent,Service Delivery Site,-76.97059089,38.52904504
1920,SHAKTOOLIK CLINIC,MAIN BUSINESS CENTER ST,Shaktoolik,AK,99771,907-955-3311,WWW.NORTONSOUNDHEALTH.ORG,All Other Clinic Types,Permanent,Service Delivery Site,-160.76816199,64.55163799
1921,Ag Worker Health &amp; Services,35511 County Road 134,Fairview,MT,59221-9465,800-813-4492,agworker.org,All Other Clinic Types,Permanent,Service Delivery Site,-104.05962993,47.84556704
1922,GraceMed Highland Park Family Clinic,2025 SE California Ave,Topeka,KS,66607-1443,785-368-2000,www.gracemed.org,All Other Clinic Types,Permanent,Service Delivery Site,-95.65116792,39.03109832
1923,Denmark Medical Center,5616 Carolina Hwy,Denmark,SC,29042-2240,803-531-6905,www.myfhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-81.14387988,33.31313346
1925,HIGHLAND WELLNESS,1411 E 31st St,Oakland,CA,94602-1018,510-437-5039,http://www.alamedahealthsystem.org/locations/,Hospital,Permanent,Service Delivery Site,-122.2315012,37.79926458
1926,"Genesis Healthcare, Inc. dba Genesis Healthcare Darlington",115 Exchange St,Darlington,SC,29532-3203,843-944-8570,www.genesisfqhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-79.87005976,34.30262819
1928,MN Community Care-Farmington Clinic,19685 Pilot Knob Rd STE 100,Farmington,MN,55024-7238,651-602-7500,mncare.org,All Other Clinic Types,Permanent,Service Delivery Site,-93.17771549,44.66578546
1930,Matthew W. Stahl Memorial Health Center,498 S Main St STE D,Montrose,PA,18801-1317,570-278-5161,www.nepachc.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-75.87912854,41.83254523
1931,Buckeye Health Center,2816 E 116th St,Cleveland,OH,44120-2111,216-636-3876,,All Other Clinic Types,Permanent,Service Delivery Site,-81.60292972,41.48263502
1933,Broadway Street Clinic,621 Broadway St,Portsmouth,OH,45662-4788,740-289-2371,www.pikecac.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.97442358,38.7348397
1934,Chesapeake Family Medical Center,717 3rd Ave,Chesapeake,OH,45619-1074,740-867-6687,www.ilcao.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.46154406,38.42694222
1936,YMCA of Greater Seattle Arcadia Shelter and Drop-In Center,932 Auburn Way S,Auburn,WA,98002-6134,206-382-5022,,Hospital,Permanent,Service Delivery Site,-122.22058603,47.29948484
1937,Community Medical Wellness Centers USA--Khemara,1533 Alamitos Ave,Long Beach,CA,90813-2214,562-218-5350,,All Other Clinic Types,Permanent,Service Delivery Site,-118.17665428,33.78694631
1939,NEIGHBORHOOD HEALTHCARE ~ ESCONDIDO,460 N Elm St,Escondido,CA,92025-3002,760-520-8100,www.nhcare.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.07291512,33.12849829
1942,NATIVE AMERICAN COMMUNITY CLINIC,1213 Franklin Ave E,Minneapolis,MN,55404-2923,612-872-8086,www.nacc-healthcare.org,All Other Clinic Types,Permanent,Service Delivery Site,-93.2561784,44.96269778
1944,Access Family Health Services - Tupelo,499 Gloster Creek Vlg,Tupelo,MS,38801-4600,662-690-8007,www.accessfamilyhealth.com,All Other Clinic Types,Permanent,Service Delivery Site,-88.71759785,34.25242549
1945,"One Cross Community, Inc.",429 W Walnut St,Lebanon,KY,40033-1346,270-789-1010,onecrosshealth.com,All Other Clinic Types,Permanent,Service Delivery Site,-85.26106577,37.56843375
1946,"Desert AIDS Project, Inc.",1695 N Sunrise Way STE 101-106,Palm Springs,CA,92262-3701,760-323-2118,www.desertaidsproject.org,All Other Clinic Types,Permanent,Service Delivery Site,-116.52820743,33.84423498
1949,Ohio State University Total Health and Wellness,181 Taylor Ave STE 1203,Columbus,OH,43203-1779,614-685-9994,https://nursing.osu.edu,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-82.961481,39.97042829
1952,Clarity Healthcare,428 S 36th St,Quincy,IL,62301-5924,217-224-6300,,All Other Clinic Types,Permanent,Service Delivery Site,-91.35853312,39.92636613
1953,Synergy Treatment Centers,2305 Airport Interchange Ave,Memphis,TN,38132-1002,901-332-2227,,All Other Clinic Types,Permanent,Service Delivery Site,-89.98787369,35.06398433
1954,Golden Valley Health Centers - Modesto Paradise Suite E102,401 Paradise Rd,Modesto,CA,95351-3163,209-722-4842,,All Other Clinic Types,Permanent,Service Delivery Site,-121.013582,37.62665898
1956,Eisner Health at Lynwood,3680 E Imperial Hwy STE 200,Lynwood,CA,90262-2663,310-608-4898,www.eisnerhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.20117277,33.93211241
1958,LONG VALLEY HEALTH CENTER - DENTAL,51 Branscomb Rd,Laytonville,CA,95454-9744,707-984-8222,www.longvalley.org,All Other Clinic Types,Permanent,Service Delivery Site,-123.484126,39.68776252
1961,Valley Health SCP Charleston 108,"830 Pennsylvania Ave, Ste 108",Charleston,WV,25302-3389,304-982-7031,,All Other Clinic Types,Permanent,Service Delivery Site,-81.636701,38.35986252
1962,Gordon Square Health Center,6705 Detroit Ave,Cleveland,OH,44102-3017,216-957-4905,,All Other Clinic Types,Permanent,Service Delivery Site,-81.73158305,41.48368824
1965,48th Street Physicians,4714 Marshall Ave,Newport News,VA,23607-2247,757-380-8709,,All Other Clinic Types,Permanent,Service Delivery Site,-76.42409281,36.99809071
1966,YNHS Neighborhood Connections,102 S Naches Ave,Yakima,WA,98901-2947,509-834-2098,www.ynhs.org,All Other Clinic Types,Permanent,Service Delivery Site,-120.49943489,46.60219117
1968,"Bedford Stuyvesant Family Health Center, Inc.",1456 Fulton St,Brooklyn,NY,11216-2505,718-636-4500,www.bsfhc.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-73.94263532,40.67989751
1969,Columbia River Pharmacy,220 S Main St,Boardman,OR,97818,541-481-5444,,All Other Clinic Types,Permanent,Service Delivery Site,-119.7010022,45.8358394
1970,Person Family Behavioral Health,622 N Main St,Roxboro,NC,27573-5041,336-599-9271,,All Other Clinic Types,Permanent,Service Delivery Site,-78.9787389,36.40169056
1971,"Shawnee Health Care, Carbondale",400 S Lewis Ln,Carbondale,IL,62901-3547,618-519-9200,www.shawneehealth.com,All Other Clinic Types,Permanent,Service Delivery Site,-89.19943235,37.72340449
1973,SJCH San Jacinto Health Center,"1821 S San Jacinto Ave, Ste D",San Jacinto,CA,92583-5608,323-541-1600,,All Other Clinic Types,Permanent,Service Delivery Site,-116.95864288,33.76806339
1974,Pine Street Family Health Center,140 Pine St,Kingston,NY,12401-4948,844-434-2778,www.institute.org,All Other Clinic Types,Permanent,Service Delivery Site,-74.01410303,41.92915849
1977,River Valley Family Health Center of Montrose,1010 S Rio Grande Ave,Montrose,CO,81401-4831,970-497-3333,,All Other Clinic Types,Permanent,Service Delivery Site,-107.87478784,38.46785802
1979,500 Central WYH Services,500 Central Ave STE 101,Albany,NY,12206-2213,518-465-4771,,All Other Clinic Types,Permanent,Service Delivery Site,-73.77848681,42.66950521
1980,WHCHC -- WIC Dental,81-980 Halekii St,Kealakekua,HI,96750-8177,808-322-4888,,All Other Clinic Types,Permanent,Service Delivery Site,-155.92173204,19.51854137
1982,East Baltimore Medical Center,1000 E Eager St,Baltimore,MD,21202-5533,410-522-9800,www.bmsi.org,All Other Clinic Types,Permanent,Service Delivery Site,-76.60291585,39.30153988
1984,Palms Medical Group - Chiefland,410 N Main St STE 1,Chiefland,FL,32626-0866,352-493-7274,www.palmsmg.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.8597775,29.48306601
1985,Metro Community Health Centers – Downtown Brooklyn,177 Livingston St UNIT Ll,Brooklyn,NY,11201-7000,212-356-1204,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-73.98679764,40.69020335
1986,Calumet Family Health Center - Calumet Ave,56720 Calumet Ave,Calumet,MI,49913-1967,906-483-1177,www.uglhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-88.45139722,47.23799324
1987,CARPENTERSVILLE COMMUNITY HEALTH CENTER,3003 Wakefield Dr,Carpentersville,IL,60110-2422,877-692-8686,www.auntmarthas.org,All Other Clinic Types,Permanent,Service Delivery Site,-88.24716915,42.10598286
1988,"Martin Luther King, Jr. Family Clinic, Inc. d/b/a Foremost Family Health Centers",2922B Martin Luther King Jr Blvd,Dallas,TX,75215-2321,214-426-3645 x161,www.foremostfhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-96.76687828,32.77042098
1990,Tensas Dental Clinic,406 Levee Rd,Saint Joseph,LA,71366-6661,318-766-1967,www.tensashealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-91.23375162,31.91436675
1992,ARcare 24,1500 Museum Rd,Conway,AR,72032-4785,870-347-2534,www.arcare.net,All Other Clinic Types,Permanent,Service Delivery Site,-92.41862728,35.0988639
1993,Wellsboro Laurel Health Center,7 Water St,Wellsboro,PA,16901-1126,570-724-1010,,All Other Clinic Types,Permanent,Service Delivery Site,-77.30125194,41.74941498
1994,CHAS Behavioral Health Center,5901 N Lidgerwood St STE 223,Spokane,WA,99208-1122,509-444-8200,,All Other Clinic Types,Permanent,Service Delivery Site,-117.40679902,47.71203721
1996,FAMILY Circle of Care Glenwood Clinic,928 N Glenwood Blvd STE 200,Tyler,TX,75702-5055,903-535-9041,www.tylercircleofcare.org,All Other Clinic Types,Permanent,Service Delivery Site,-95.31913291,32.36035293
1997,"G. A. Carmichael Family Health Centers, Inc",16463 US Highway 49 BLDG,Belzoni,MS,39038-4292,662-247-1252,,All Other Clinic Types,Permanent,Service Delivery Site,-90.4969826,33.18780788
2000,Los Angeles Gay & Lesbian Center,1625 Schrader Blvd,Los Angeles,CA,90028-6213,323-993-7500,http://laglc.convio.net/site/PageServer,All Other Clinic Types,Permanent,Service Delivery Site,-118.33250186,34.10052089
2001,CSVS North Main,2180 N Main St,Salinas,CA,93906-1735,831-757-8689,,All Other Clinic Types,Permanent,Service Delivery Site,-121.65631606,36.72676071
2003,Johnson County Community Health Center,450 S Mayo Trl,Paintsville,KY,41240-1220,606-887-6145,www.bshc.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.80445333,37.8106014
2004,Sea Mar CHC - Port Angeles W. 1st St.,"228 W 1st St, Ste K",Port Angeles,WA,98362-2640,360-406-5260,,All Other Clinic Types,Permanent,Service Delivery Site,-123.43656105,48.12025907
2007,Star Community Health Family Medicine - Bethlehem,2830 Easton Ave,Bethlehem,PA,18017-4204,484-526-3555,starcommunityhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-75.34263167,40.64669557
2008,Arthur Center Community Health,340 Kelley Pkwy,Mexico,MO,65265-3811,573-582-1234,https://www.arthurcenter.com,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-91.88849638,39.14504883
2009,ACHCH Shelter and Street Health Services,384 14th St,Oakland,CA,94612-3211,510-891-8950,http://www.achch.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-122.26958186,37.80371713
2010,One Health - Ashland,501 Main Street,Ashland,MT,59003-7701,406-748-3622,,All Other Clinic Types,Permanent,Service Delivery Site,-106.26739664,45.59163233
2011,Genesis Youth Crisis Wellness Center,591 Kappa Sigma Pi Dr.,Clarksburg,WV,26301,304-623-6330,,All Other Clinic Types,Permanent,Service Delivery Site,-80.34702,39.2820283
2013,ARcare - 85,1511 Highway 25B,Heber Springs,AR,72543-1701,501-362-9426,www.arcare.net,All Other Clinic Types,Permanent,Service Delivery Site,-92.02885504,35.50744928
2014,ARcare-59,416 E Washington Ave,Jonesboro,AR,72401-3136,870-347-2534,www.arcare.net,All Other Clinic Types,Permanent,Service Delivery Site,-90.70179617,35.83860964
2017,"Compass Health, Inc.",2645 Muegge Rd,Saint Charles,MO,63303-3145,844-853-8937,,All Other Clinic Types,Permanent,Service Delivery Site,-90.56416172,38.78532709
2019,Keystone Community Health Services,111 Chambers Hill Dr STE 102,Chambersburg,PA,17201-7304,717-709-7909,,All Other Clinic Types,Permanent,Service Delivery Site,-77.64189483,39.94354597
2020,PrimaryOne Health 2300 West Broad Street,2300 W Broad St,Columbus,OH,43204-3783,614-645-2300,www.primaryonehealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-83.06130586,39.95563142
2021,Mercy Care Chamblee,5134 Peachtree Rd,Chamblee,GA,30341-2724,678-872-7100,www.mercyatlanta.org,All Other Clinic Types,Permanent,Service Delivery Site,-84.30944307,33.88676878
2022,Hope Clinic Waxahachie,411 E Jefferson St,Waxahachie,TX,75165-3827,972-923-2440,,All Other Clinic Types,Permanent,Service Delivery Site,-96.84469067,32.38290439
2023,Mariposa Nogales North,3231 N Grand Ave,Nogales,AZ,85621-3905,520-281-1550,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-110.95385189,31.39074371
2024,Neighborcare Health at Pike Place Market,1930 Post Aly,Seattle,WA,98101-1074,206-728-4143,www.neighborcare.org,All Other Clinic Types,Permanent,Service Delivery Site,-122.34267868,47.61054891
2027,AbsoluteCare Pittsburgh,7301 Penn Ave,Pittsburgh,PA,15208-2528,412-517-3000,,All Other Clinic Types,Permanent,Service Delivery Site,-79.89887858,40.44841386
2030,Blue Ridge Health-Meridian East,1207 East St,Waynesville,NC,28786-3438,828-456-2997,,All Other Clinic Types,Permanent,Service Delivery Site,-82.97239675,35.49588758
2031,Upper Cardozo Health Center,3020 14th St NW,Washington,DC,20009-6837,202-469-4699,www.unityhealthcare.org,All Other Clinic Types,Permanent,Service Delivery Site,-77.03303255,38.92817748
2033,TCFM Wayland,200 N Main St,Wayland,NY,14572-1034,585-728-5131,www.tcfmedicine.org,All Other Clinic Types,Permanent,Service Delivery Site,-77.59089791,42.56963412
2034,MOUNTAIN VILLAGE CLINIC,#1 Clinic Road,Mountain Village,AK,99632,907-675-4556,www.ykhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-163.871442,62.16950899
2035,CommuniCare Health Centers - Navigation Center,7420 Blanco Rd STE 210,San Antonio,TX,78216-4392,210-233-7000,www.communicaresa.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-98.50531215,29.52763481
2037,WEST PERRINE HEALTH CENTER,18225 Homestead Ave,Perrine,FL,33157-5564,305-234-7676,www.chisouthfl.org,All Other Clinic Types,Permanent,Service Delivery Site,-80.35609354,25.59976654
2039,Compass Health Inc.,1101 N Providence Rd,Columbia,MO,65203-4365,573-777-8997,,All Other Clinic Types,Permanent,Service Delivery Site,-92.33395147,38.9636369
2042,Muskingum Valley Health Centers,859 N Main St,Malta,OH,43758-9007,740-962-6111,www.mvhealthcenters.org,All Other Clinic Types,Permanent,Service Delivery Site,-81.86538279,39.65351616
2043,New River Health Medical Mall,497 Mall Rd,Oak Hill,WV,25901-6115,304-469-2905,https://www.newriverhealthwv.com/,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-81.1264943,38.01321781
2046,CLAIBORNE COUNTY FAMILY HEALTH CENTER,2045 Highway 61 N,Port Gibson,MS,39150-4262,601-437-3050,www.claibornecountyfhc.com,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-90.97739189,31.97698265
2047,HealthNet Homeless Initiative Program,901 Shelby St,Indianapolis,IN,46203-1151,317-957-2275,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-86.13979173,39.75460325
2049,Four Rivers Community Health Center St Robert,165 Park Dr,Saint Robert,MO,65584,576-426-4455,,All Other Clinic Types,Permanent,Service Delivery Site,-92.136358,37.82621999
2051,Southside Medical Center - Forest Park Clinic,4945 Governors Dr,Forest Park,GA,30297-2134,404-608-7123,,All Other Clinic Types,Permanent,Service Delivery Site,-84.37637157,33.62012112
2052,One Health - Powell Viral,126 N Bent St,Powell,WY,82435-2712,307-764-4107,,All Other Clinic Types,Permanent,Service Delivery Site,-108.75763099,44.75356288
2056,"Central City Community Health Center, Inc.-  Anaheim 2",2243 W Ball Rd,Anaheim,CA,92804-5314,714-490-2750,www.centralcityhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.96105941,33.81778417
2058,VPCHC - Cayuga,703 W Park St,Cayuga,IN,47928-8207,765-492-9042,www.valleyprohealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-87.46892344,39.94106313
2059,Infant Welfare Society of Chicago dba Angel Harvey Family Health Center,3600 W Fullerton Ave,Chicago,IL,60647-2319,773-782-2800,www.infantwelfare.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-87.71706942,41.92471995
2061,Wesley Health Centers - MLK Recuperative Care Center,1670 E 120th St,Los Angeles,CA,90059-3026,424-338-2111,,All Other Clinic Types,Permanent,Service Delivery Site,-118.24175267,33.9245707
2062,Wound Care Clinic,3629 S D St,Tacoma,WA,98418-6813,253-798-6500,,All Other Clinic Types,Permanent,Service Delivery Site,-122.43595602,47.22517097
2063,Affinia Healthcare 2220 Lemp,2220 Lemp Ave,Saint Louis,MO,63104-2700,314-814-8680,www.affiniahealthcare.org,All Other Clinic Types,Permanent,Service Delivery Site,-90.21480307,38.60702444
2067,"Southern Tier Community Health Center Network, Bradford site",159 Interstate Pkwy,Bradford,PA,16701-1013,716-701-7555,,All Other Clinic Types,Permanent,Service Delivery Site,-78.66096871,41.96198747
2070,Health Center of Southeast Texas,307 N William Barnett Ave,Cleveland,TX,77327-4061,281-592-2224,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-95.08354846,30.34414441
2072,HAPPI Health 807,807 Franklin St SE,Huntsville,AL,35801-4311,256-333-3044,www.happiinc.com,All Other Clinic Types,Permanent,Service Delivery Site,-86.57815453,34.72217782
2073,Cleveland Family Health Care Center,2020 Westland Dr SW,Cleveland,TN,37311-8163,423-478-1970,,All Other Clinic Types,Permanent,Service Delivery Site,-84.90088743,35.14159539
2076,219 Health Network,4320 Fir St UNIT 211,East Chicago,IN,46312-3076,219-703-2577,https://219health.org/,All Other Clinic Types,Permanent,Service Delivery Site,-87.44855264,41.63612604
2078,VALLEY HEALTH - FORT GAY,71 Wayne St,Fort Gay,WV,25514-8518,304-648-5544,www.valleyhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.59837645,38.11901025
2079,ALTHEIMER CLINIC,309 S Edline,Altheimer,AR,72004-8559,870-766-8411,,All Other Clinic Types,Permanent,Service Delivery Site,-91.84225728,34.31509455
2080,Care Resource Community Health Center at Miami,3510 Biscayne Blvd,Miami,FL,33137-3840,305-576-1234,www.careresource.org,All Other Clinic Types,Permanent,Service Delivery Site,-80.18959836,25.80962934
2081,Van Buren Elementary School,9501 Jurupa Rd,Jurupa Valley,CA,92509-3513,760-520-8300,,All Other Clinic Types,Permanent,Service Delivery Site,-117.491141,33.99570729
2082,Equitas Health Dayton #2,1222 S Patterson Blvd STE 200,Dayton,OH,45402-2684,937-853-3650,www.equitashealth.com,All Other Clinic Types,Permanent,Service Delivery Site,-84.19149897,39.74050208
2083,Kintegra Family Medicine - Hudson,991 W Hudson Blvd,Gastonia,NC,28052-6430,704-853-5079,www.kintegra.org,All Other Clinic Types,Permanent,Service Delivery Site,-81.20346356,35.23422468
2084,Reston,11484 Washington Plz W,Reston,VA,20190-4344,703-443-2000,www.hwnova.org,All Other Clinic Types,Permanent,Service Delivery Site,-77.34264437,38.9682457
2086,"Oconee Valley Healthcare, Inc. Greensboro",803 S Main St,Greensboro,GA,30642-1211,706-453-1201,www.tendercarega.org,All Other Clinic Types,Permanent,Service Delivery Site,-83.18368206,33.56659035
2087,Cooperative Health @ CAMH,2715 Colonial Dr,Columbia,SC,29203-6818,866-405-9438,,All Other Clinic Types,Permanent,Service Delivery Site,-81.03179059,34.0222479
2089,Braymer Clinic,109 N Main St,Braymer,MO,64624-9325,660-645-2218,http://www.nwhealth-services.org/,All Other Clinic Types,Permanent,Service Delivery Site,-93.795246,39.58680598
2091,MedLink Athens,2000 Prince Ave,Athens,GA,30606-6022,706-352-9705,www.medlinkga.org,All Other Clinic Types,Permanent,Service Delivery Site,-83.40778457,33.96830366
2093,GPW Health Center - Manassas,9705 Liberia Ave STE 201,Manassas,VA,20110-1744,703-680-7950,www.GPWHealthCenter.com,All Other Clinic Types,Permanent,Service Delivery Site,-77.44865123,38.74599455
2094,CAMCARE - GENERATIONS HEALTH CENTER,121 White Horse Pike,Clementon,NJ,08021-4158,856-627-7701,WWW.CAMCARE.NET,All Other Clinic Types,Permanent,Service Delivery Site,-74.98327978,39.81148481
2095,Cahaba Medical Care - Birmingham Dental Office,623 8th Ave W,Birmingham,AL,35204-3604,205-545-7696,,All Other Clinic Types,Permanent,Service Delivery Site,-86.8470288,33.51177618
2099,Great Lakes Bay Health Centers Integrated Care Thumb Area,1375 R Dale Wertz Dr,Bad Axe,MI,48413,989-623-0137,https://greatlakesbayhealthcenters.org,All Other Clinic Types,Permanent,Service Delivery Site,-83.03743322,43.80313984
2102,Family Dental of Whitley City,19 Medical Loop # 3,Whitley City,KY,42653-4382,606-376-5391,www.cumberlandfamilymedical.com,All Other Clinic Types,Permanent,Service Delivery Site,-84.47110165,36.73428373
2103,Roberto S. Juarez Heath Center,2100 Statham Blvd,Oxnard,CA,93033-39ND,805-659-1740,https://clinicas.org/,All Other Clinic Types,Permanent,Service Delivery Site,-119.16550646,34.17944354
2104,Jefferson Community Health Care Centers-RFK Lafitte Medical Clinic,5140 Church St,Lafitte,LA,70067-5256,504-762-8931,www.jchcc.org,All Other Clinic Types,Permanent,Service Delivery Site,-90.12674064,29.73553347
2106,Variety Care Tenth Street Family Medical Center,4023 NW 10th St,Oklahoma City,OK,73107-6038,405-632-6688,www.varietycare.org,All Other Clinic Types,Permanent,Service Delivery Site,-97.59115807,35.47877542
2107,TFHC #16 New Nebraska,12410 N Nebraska Ave,Tampa,FL,33612-5352,813-866-0950,http://www.tampachc.com,All Other Clinic Types,Permanent,Service Delivery Site,-82.45129106,28.06072816
2109,Eau Claire Family Dentistry at Monticello Road,4605 Monticello Rd BLDG C,Columbia,SC,29203-4156,803-733-5969,www.ecchc.org,All Other Clinic Types,Permanent,Service Delivery Site,-81.04286537,34.04613898
2111,Lone Star Family Health Center - Spring,440 Rayford Rd STE 150,Spring,TX,77386-4169,936-539-4004,www.lonestarfamily.org,All Other Clinic Types,Permanent,Service Delivery Site,-95.43671198,30.12715727
2112,Dental Health Center,2828 International Cir STE 100,Colorado Springs,CO,80910-3127,719-475-0738,www.peakvista.org,All Other Clinic Types,Permanent,Service Delivery Site,-104.78819089,38.82718338
2115,Vibrant Health - Children&#39;s Campus,444 Minnesota Ave,Kansas City,KS,66101-2914,913-342-2552,https://vibrantwyandotte.org/,All Other Clinic Types,Permanent,Service Delivery Site,-94.62075173,39.11562483
2116,Laurel Dental - Towanda,346 York Ave,Towanda,PA,18848-2021,570-265-3996,,All Other Clinic Types,Permanent,Service Delivery Site,-76.44793589,41.77999212
2118,LA CLINICA NORTH VALLEJO,220 Hospital Dr,Vallejo,CA,94589-2517,707-641-1900,www.laclinica.org,All Other Clinic Types,Permanent,Service Delivery Site,-122.23899269,38.13110697
2119,SIHF Healthcare – Belleville Pediatrics,2900 Frank Scott Pkwy W STE 950,Belleville,IL,62223-5010,618-233-3205,www.sihf.org,All Other Clinic Types,Permanent,Service Delivery Site,-90.03688536,38.53803601
2120,Gustavus Clinic,28 Dock St.,Gustavus,AK,99826,907-697-3008,,All Other Clinic Types,Permanent,Service Delivery Site,-135.73206379,58.4234737
2121,OLE Health - South Napa Campus,300 Hartle Ct,Napa,CA,94559-4078,707-254-1775,,All Other Clinic Types,Permanent,Service Delivery Site,-122.28048579,38.28396649
2122,Eskenazi Health Center Primary Care,720 Eskenazi Ave,Indianapolis,IN,46202-5187,317-880-7000,https://www.eskenazihealth.edu/locations/sandra-eskenazi-outpatient-care-center,All Other Clinic Types,Permanent,Service Delivery Site,-86.18287228,39.77768768
2123,Juniata Valley BTAMC Clinic,846 Medical Center Dr,Alexandria,PA,16611-2936,814-669-4444,,All Other Clinic Types,Permanent,Service Delivery Site,-78.10615646,40.56103722
2124,Neighborhood Healthcare ~ Fallbrook,1309 S Mission Rd STE B,Fallbrook,CA,92028-4168,760-520-8300,,All Other Clinic Types,Permanent,Service Delivery Site,-117.25109335,33.36938709
2125,Variety Care Norman,317 E Himes St,Norman,OK,73069-7810,405-632-6688,www.varietycare.org,All Other Clinic Types,Permanent,Service Delivery Site,-97.44199557,35.23056162
2127,United Health Centers Fresno Blackstone,1110 N Blackstone Ave,Fresno,CA,93701-1016,559-646-6618 x0010,https://unitedhealthcenters.org/,All Other Clinic Types,Permanent,Service Delivery Site,-119.79052386,36.75668717
2128,Maple City Dental,814 N 3rd St,Goshen,IN,46528-7100,574-534-0088,www.mchcc.org,All Other Clinic Types,Permanent,Service Delivery Site,-85.83600105,41.59649567
2129,NEW Health Lake Spokane Medical,5952 Blackstone Way,Nine Mile Falls,WA,99026-4900,509-464-3627,www.newhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.56828309,47.81302275
2130,Garden City Dental Clinic,2510 N Henderson Dr,Garden City,KS,67846-3624,620-055-2677,www.genesisfamilyhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-100.85073228,37.98904038
2133,ACCESS Family Care- Aurora Clinic,1810 S Carnation Dr,Aurora,MO,65605-2162,417-461-0688,www.accessfamilycare.org,All Other Clinic Types,Permanent,Service Delivery Site,-93.73679882,36.9563954
2134,CHP North Adams Family Medical and Dental Center,71 Hospital Avenue,North Adams,MA,01247-2584,413-664-4088,https://www.chpberkshires.org/,All Other Clinic Types,Permanent,Service Delivery Site,-73.10919017,42.70690979
2135,LAC-VALENCIA HEALTH CENTER,23763 Valencia Blvd,Valencia,CA,91355-2105,661-287-1551,WWW.NEVHC.ORG,All Other Clinic Types,Permanent,Service Delivery Site,-118.55090307,34.41433511
